product_id,product_name,category,size,color,price,image_url,in_stock,description
BAG001,Tote Bag,Tote,M,MULTI,1200,"Biscuit Knot Tote.jpg, White Tote Bag.jpg, Dimensions Chart.png",True,"A stylish everyday Tote bag to carry your essentials, available in custom color in medium and large sizes"
BAG001,Tote Bag,Tote,L,MULTI,1400,,False,"A stylish everyday Tote bag to carry your essentials, available in custom color in medium and large sizes"
BAG002,Clutch Koodai,Clutch,S,MULTI,700,,True,An effortless style statement to complete your look
BAG002,Clutch Koodai,Clutch,M,MULTI,1000,/images/BrownModelClutch.jpeg,True,An effortless style statement to complete your look
BAG003,Sling with chain,Sling,S,MULTI,900,,True,A timeless style statement with elegant handle
BAG003,Sling with chain,Sling,M,MULTI,1200,Blue Sling.jpeg,True,A timeless style statement with elegant handle
BAG003,Sling with leather,Sling,S,MULTI,1100,,True,A timeless style statement with elegant handle
BAG003,Sling with leather,Sling,M,MULTI,1400,,True,A timeless style statement with elegant handle
BAG004,Basket Koodai,Basket,S,,650,,True,"Your everyday travel buddy, for that sturdy yet cute look"
BAG004,Basket Koodai,Basket,M,,850,Pink Baset.jpeg,True,"Your everyday travel buddy, for that sturdy yet cute look"
BAG004,Basket Koodai,Basket,L,,1100,,True,"Your everyday travel buddy, for that sturdy yet cute look"
BAG005,Wooden handle Koodai,Wooden,S,,750,,True,"Comfort and elegance woven into a bag, comes in custom sizes and colours of your choice!"
BAG005,Wooden handle Koodai,Wooden,M,,1000,Yellow Wooden Handle.jpeg,True,"Comfort and elegance woven into a bag, comes in custom sizes and colours of your choice!"
BAG005,Wooden handle Koodai,Wooden,L,,1400,,True,"Comfort and elegance woven into a bag, comes in custom sizes and colours of your choice!"
BAG005,Kai Koodai,Wooden,S,,750,,True,The show stopping bag that can redefine your fashion while providing space for that extra shopping!
BAG005,Kai Koodai,Wooden,M,,950,,True,The show stopping bag that can redefine your fashion while providing space for that extra shopping!
BAG005,Eye handle Koodai,Wooden,S,,850,,True,"Ultra stylish bag, a perfect head turner!"
BAG005,Eye handle Koodai,Wooden,M,,1100,"Eye Handle 1.jpeg, Eye Handle 2.png, Eye Handle 3.png, Dimensions Chart.png",True,"Ultra stylish bag, a perfect head turner!"
BAG005,Eye handle Koodai,Wooden,L,,1400,,True,"Ultra stylish bag, a perfect head turner!"
BAG006,Cute Pooja Koodai,Others,S,,850,,True,The right bag for those days you wish to be extra charming 
BAG006,Cute Pooja Koodai,Pooja,M,,1000,,True,The right bag for those days you wish to be extra charming 
